wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_amount,first_tx,last_tx,unique_assets,score
0x004c5993adfd45da327f82ec7581a6ee736bf4cb,1,0,0,0,0,1500000000000.0,1626787571,1626787571,1,520
0x004c788aecdcc8ae214519737576d67da3c7334a,1,0,0,0,0,1.1,1627154945,1627154945,1,520
0x004ce54398cc569a622bf5a99ae857306243c8ec,48,14,9,17,0,2095591.8040339996,1624389403,1630263109,1,610
0x004d71c111862702272e6beccdaafb07c9b96c37,85,63,63,64,1,8.814217477238228e+18,1622054629,1629358011,6,620
0x004f137c71b3003c7915bd6aa3a4f57e334a738e,0,0,0,5,0,2753000000008260.5,1621420809,1621460776,3,530
0x004f9b61222bcb6214b7dcd87ebafa0ac2c74440,1,0,0,0,0,1.108184,1627051863,1627051863,1,520
0x0051337e53823325b9df640f8bac7c7a7dcc4b19,1,0,0,0,0,1.108326,1627109953,1627109953,1,520
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,26,21,21,0,0,2739099998473329.5,1623122352,1630461452,7,650
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,8,6,18,10,0,1348108283873523.0,1624211192,1628941012,6,630
0x0051ed91501bdefede70975ec9459a0dd3c5657b,1,2,0,0,0,10014755088912.074,1628422493,1628423477,2,530
0x00520ddda78809f725ba3ac696fc8dbe9ccaef91,2,0,0,0,0,2031231618466.1604,1626465268,1626832212,1,530
0x00526e91ec022d8596bda04092071c1da6b5322e,2,2,2,1,0,410244756944306.9,1628070753,1628398514,2,540
0x0052c9f2cc95f743412d6daaf3c93bcd1793479d,3,2,2,2,0,12003200767692.74,1623611661,1623611779,3,560
0x0052d655d117dae79d897213af1d4393ab32c739,1,0,0,0,0,1.107916,1627054773,1627054773,1,520
0x005399ba80babd299512e9efb4e0e764f673405c,1,0,0,0,0,0.1,1629372189,1629372189,1,520
0x0053b5daa6d4c2e3d16f2b9c10dc04e92b14a818,14,15,10,18,0,2.0112753983571268e+16,1618041627,1627800669,7,650
0x00548bf85d26850ad7ad55ca90ba02572349f648,1,1,0,0,0,110000000000.0,1628569096,1628569110,1,520
0x0054b73e9add0a26ca2a81635c6ec0a0eb75b77f,1,0,0,0,0,103200000000.0,1622284049,1622284049,1,520
0x00552481817c28f473f4cc61538db6536015d906,2,0,0,0,0,2.2,1626281877,1626753565,1,530
0x00553b963de06016c68681c9bee10a79c51c5d8a,2,0,0,0,0,25000000000025.0,1630373542,1630374672,2,540
0x005547e9fa569b6835204402138146861e901b06,1,0,0,0,0,6020936009.27749,1626781428,1626781428,1,520
0x00560340190b7e9a1027fb5e72858a8298588303,1,0,0,0,0,53.784266,1627973210,1627973210,1,520
0x00561a0d394a2cad87c811615f72b61cb0ed3faa,2,1,2,1,0,3991999923323750.5,1622897527,1623829506,2,540
0x0056323f02bb16de8025a79ab09e1dd5c8114602,0,0,0,1,0,1714.364206,1630585408,1630585408,1,510
0x005661a7a441451fafdccd579905a7dbc79fd538,11,19,19,12,0,10946713993349.658,1625742692,1626810071,6,650
0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,2,0,0,2,0,8828966961260.197,1619580124,1619605078,1,530
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,6,2,3,6,0,5.921235482284452e+16,1619364620,1629147428,5,610
0x005711ac01b67981d6b627c09470cce29dbd3353,1,1,1,1,0,1.00004e+16,1621698725,1621698889,2,530
0x0057abf4b6b95cd42cb8c197e78b934d45679432,2,0,0,0,0,1.180196,1626162550,1626685440,1,530
0x0057aef39caf4085bf3f91661eb2e6e6f513244f,2,0,0,0,0,1.055527,1626629387,1627210973,1,530
